id,value,feed_id,created_at,lat,lon,ele
0FW0BY6HV04YN7NPCBN4CR5KZW,22.509766,3068364,2025-04-24 17:13:06 UTC,,,
0FW0C3MNDWJDRJ9MWF7ETJ9WMY,22.070312,3068364,2025-04-24 17:22:36 UTC,,,
0FW0C4DJRPVDMQ4ZYKBD9V820B,22.290039,3068364,2025-04-24 17:23:58 UTC,,,
0FW0C4ET6RWJRFME33H31N74QM,24.487305,3068364,2025-04-24 17:24:02 UTC,,,
0FW0C4F4055K6YFMRGZ1AGXJ3N,25.410152,3068364,2025-04-24 17:24:03 UTC,,,
0FW0C4FTR6ZANPM3SP6FZXPK4D,25.761717,3068364,2025-04-24 17:24:05 UTC,,,
0FW0C4G7BQ4AGH2AQVSWB7PD6W,25.146484,3068364,2025-04-24 17:24:07 UTC,,,
0FW0C4GNWB33VM3VTAE2WKVPDT,24.838865,3068364,2025-04-24 17:24:08 UTC,,,
0FW0CMP982HDZZK5D3X71BHHYP,21.894527,3068364,2025-04-24 17:52:24 UTC,,,
0FW0CMPZNQ9NJFKDWE87SRFGQR,21.850586,3068364,2025-04-24 17:52:26 UTC,,,
0FW0CMQS2F4AZHSTFMT4JXTPX0,23.652340,3068364,2025-04-24 17:52:29 UTC,,,
0FW0CMRDBX9AKWA0DP8P79S7EB,24.750973,3068364,2025-04-24 17:52:31 UTC,,,
0FW0CMRYTKFQS2232N3E1RQHAW,25.278318,3068364,2025-04-24 17:52:33 UTC,,,
0FW0CMSMJ6XJ3D3QD0RV3KGP13,25.761717,3068364,2025-04-24 17:52:35 UTC,,,
0FW0CMTCPSNPA94CJ0F8796BDJ,25.234371,3068364,2025-04-24 17:52:38 UTC,,,
0FW0CMV050KJ7J1DMF3PWF11D9,25.014645,3068364,2025-04-24 17:52:40 UTC,,,
0FW0CMVNBF6DVN7WWD3MH02SEA,25.322264,3068364,2025-04-24 17:52:42 UTC,,,
0FW0CMW9GQ9ZDF4T873NDAFFZJ,25.893551,3068364,2025-04-24 17:52:44 UTC,,,
0FW0CMWY2501SMKF9QRBK94H96,25.629879,3068364,2025-04-24 17:52:46 UTC,,,
0FW0CMXG1C338XDQEPRTR7VJCK,24.926758,3068364,2025-04-24 17:52:48 UTC,,,
0FW0CMY12X7ARQRP77G1JZYD4S,24.707031,3068364,2025-04-24 17:52:49 UTC,,,
0FW0CMYHPARNN268TQMEHKFWY3,24.355465,3068364,2025-04-24 17:52:51 UTC,,,
0FW0CMZ3SQH98R8A4D09PWFA8C,24.267578,3068364,2025-04-24 17:52:53 UTC,,,
0FW0CMZK76C8G6JQ0FPQGT0PS1,23.828125,3068364,2025-04-24 17:52:55 UTC,,,
0FW3PJRPFC2BY05ADZMGXN9HGY,25.190426,3068364,2025-04-28 20:36:59 UTC,,,
0FW3PJZ5VPJCSYR88V1DBGR3XD,25.190426,3068364,2025-04-28 20:37:21 UTC,,,
0FW3PJZVKSKT2FJKWQ5WG7DM67,25.146484,3068364,2025-04-28 20:37:23 UTC,,,
0FW3PK0FWDRMTQDCNCM51DSMWZ,25.190426,3068364,2025-04-28 20:37:25 UTC,,,
